    1   11     6.1541E-28     6.0973E-10     -6.4410965607790646E-12     -1.9345647087993303E+00      1.9001250933413769E-17      2.9554688205514051E-01      1.0457335827763357E-16      1.7700666915250602E+00      2.0873947564416450E-16      3.3847375192301490E+00     -9.7784834393781606E-01     -1.1870073291815613E+00     -5.6598632949899101E-16     -3.0763364325487692E+00      9.7784834393434705E-01     -1.1870073291830185E+00
    1   12     3.8739E-23     1.0175E-09     -2.0497297602940687E+00     -1.3708336650172783E+00      1.9001250933413769E-17      2.9554688216643515E-01      1.1079978098533750E-16      1.7700666915553007E+00      2.0542978373004806E-16      3.3847375192294753E+00     -9.7784834205105342E-01     -1.1870073299572561E+00     -5.6540383932091656E-16     -3.0763364320163937E+00      9.7784834398484033E-01     -1.1870073296442916E+00
    1   13     2.2558E-28     5.6313E-10     -4.1852083532488031E-14      1.0333651171961311E+00      1.9001250933413769E-17      2.9554688049810907E-01      1.0457357809981249E-16      1.7700666920702002E+00      2.0873964478597901E-16      3.3847375194915843E+00     -9.7784834365491724E-01     -1.1870073305135154E+00     -5.6598610621424494E-16     -3.0763364321030302E+00      9.7784834365203277E-01     -1.1870073305142765E+00
    1   14     1.5615E-26     8.0586E-10     -5.4057685729395919E-13      2.5640785658825558E+00      1.9001250933413769E-17      2.9554688074957008E-01      1.0457349688910360E-16      1.7700666898811708E+00      2.0873957141203681E-16      3.3847375198743070E+00     -9.7784834361680473E-01     -1.1870073304935223E+00     -5.6598639930215314E-16     -3.0763364321186728E+00      9.7784834361367823E-01     -1.1870073304944961E+00
    1   15     1.2841E-21     1.3826E-09     -1.0788792355391714E+00     -3.7120974467975172E+00      1.9001250933413769E-17      2.9554688211350488E-01      1.1148539776043545E-16      1.7700666915661485E+00      2.0554014518137759E-16      3.3847375192716194E+00     -9.7784834363701700E-01     -1.1870073289935026E+00     -5.6483209806798505E-16     -3.0763364307160028E+00      9.7784834368797258E-01     -1.1870073295672334E+00
    1   16     4.8383E-22     7.4558E-10     -4.1193317494262377E-01     -4.8938236467091917E-01      1.9001250933413769E-17      2.9554688259586065E-01      1.1166143043830839E-16      1.7700666917909762E+00      2.0538181830996458E-16      3.3847375193853120E+00     -9.7784834373652751E-01     -1.1870073316151486E+00     -5.6509433566862212E-16     -3.0763364321481368E+00      9.7784834358734340E-01     -1.1870073295570456E+00
    1   17     1.3233E-24     1.2974E-09     -1.1200684316711060E-10     -4.4411168178116407E+00      1.9001250933413769E-17      2.9554688214111063E-01      1.0457339828105069E-16      1.7700666915977217E+00      2.0873951180408424E-16      3.3847375193049283E+00     -9.7784834372877749E-01     -1.1870073291938945E+00     -5.6598618319796278E-16     -3.0763364302499405E+00      9.7784834372732632E-01     -1.1870073291963730E+00
    1   18     1.1232E-21     9.4836E-10     -1.3079137141653308E+00     -2.7159776442110606E+00      1.9001250933413769E-17      2.9554688214820291E-01      1.1031806862915143E-16      1.7700666915894667E+00      2.0709706016781052E-16      3.3847375192937492E+00     -9.7784834334641568E-01     -1.1870073289706464E+00     -5.5683581160876197E-16     -3.0763364316853745E+00      9.7784834368866291E-01     -1.1870073296969850E+00
    1   19     3.1423E-25     1.3382E-09      1.0579186799356895E-10      4.6853163690495361E+00      1.9001250933413769E-17      2.9554688086312925E-01      1.0457322189860726E-16      1.7700666901558733E+00      2.0873937994528089E-16      3.3847375173986891E+00     -9.7784834362102646E-01     -1.1870073304831557E+00     -5.6598625969267383E-16     -3.0763364321732798E+00      9.7784834361782580E-01     -1.1870073304841364E+00
    1   20     9.3464E-22     7.5045E-10      4.2261516600749977E-01     -2.1094676307123605E+00      1.8464290494875052E-17      2.9554688213688152E-01      1.0296265856337673E-16      1.7700666915790662E+00      2.0757031003329354E-16      3.3847375192685960E+00     -9.7784834361445250E-01     -1.1870073295839212E+00     -5.6584811786908973E-16     -3.0763364326850953E+00      9.7784834390245978E-01     -1.1870073286436242E+00
    1   21     2.9062E-27     4.4425E-10     -1.9514352559021579E-12     -8.5242711812730165E-01      1.9001250933413769E-17      2.9554688212834473E-01      1.0457335825398322E-16      1.7700666915118863E+00      2.0873947564829673E-16      3.3847375191879054E+00     -9.7784834420181366E-01     -1.1870073300975161E+00     -5.6598632949914060E-16     -3.0763364318173330E+00      9.7784834420077693E-01     -1.1870073300984254E+00
    2    1     4.3661E-22     1.5122E-09      1.3049798363704117E+00      2.6172201418244243E+00      9.3655815736453862E-01      1.0929491796712829E+00      1.7620984616383049E-16      3.0292844385810489E+00     -9.3655815718628377E-01      1.0929491819504269E+00     -8.4336592358555829E-01     -2.3317277377613563E+00     -1.0205464930586534E-16     -5.5172732452896200E-01      8.4336592253052645E-01     -2.3317277405538337E+00
    2    2     3.5459E-23     1.0419E-09     -1.8836303796174865E+00     -2.6083483819285918E+00      9.3655815734368364E-01      1.0929491817713990E+00      1.9195820501459880E-16      3.0292844389156581E+00     -9.3655815729894587E-01      1.0929491818747081E+00     -8.4336592186406012E-01     -2.3317277380863883E+00     -9.6279952108610044E-17     -5.5172732347119047E-01      8.4336592362469509E-01     -2.3317277384200104E+00
    2    3     3.5570E-23     1.0419E-09      1.8836303796129925E+00     -2.6083483819294009E+00      9.3655815729645298E-01      1.0929491818747248E+00      1.7901126988193584E-16      3.0292844389156581E+00     -9.3655815734617676E-01      1.0929491817713821E+00     -8.4336592362754648E-01     -2.3317277384194814E+00     -1.0641468390951637E-16     -5.5172732347119047E-01      8.4336592186120873E-01     -2.3317277380869177E+00
    2    4     2.3738E-29     9.1379E-10     -2.7570093284105676E-12     -2.2974382743516979E+00      9.3655815727320135E-01      1.0929491817432335E+00      1.7981056036298168E-16      3.0292844388424500E+00     -9.3655815727569414E-01      1.0929491817432166E+00     -8.4336592408771083E-01     -2.3317277381903243E+00     -1.0641468390951637E-16     -5.5172732367445676E-01      8.4336592408485955E-01     -2.3317277381908537E+00
    2    5     7.7393E-25     1.2656E-09      8.3923468733152916E-11      4.4028804400403239E+00      9.3655815745473958E-01      1.0929491806766232E+00      1.7981163262840551E-16      3.0292844371286005E+00     -9.3655815745707560E-01      1.0929491806817733E+00     -8.4336592306026714E-01     -2.3317277391808036E+00     -1.0641468390951637E-16     -5.5172732454523621E-01      8.4336592305482627E-01     -2.3317277391880102E+00
    2    6     1.9765E-22     5.8947E-10      1.4790267538416830E+00     -5.7763897150046728E-01      9.3655815696004241E-01      1.0929491822588981E+00      1.7739027423252936E-16      3.0292844390443872E+00     -9.3655815750007143E-01      1.0929491814421761E+00     -8.4336592333336557E-01     -2.3317277383620123E+00     -1.0641468390951637E-16     -5.5172732399608904E-01      8.4336592265096277E-01     -2.3317277398338940E+00
    2    7     3.6728E-29     1.0158E-09     -4.9591971880418024E-13     -3.9754508431525832E+00      9.3655815736586823E-01      1.0929491819344184E+00      1.7981040975150584E-16      3.0292844390752762E+00     -9.3655815736827575E-01      1.0929491819345749E+00     -8.4336592319954951E-01     -2.3317277378012373E+00     -1.0641468390951637E-16     -5.5172732338960118E-01      8.4336592319658144E-01     -2.3317277378021530E+00
    2    8     1.9745E-22     5.8940E-10     -1.4790267538436552E+00     -5.7763897150010057E-01      9.3655815749757854E-01      1.0929491814421932E+00      1.9358016640184069E-16      3.0292844390443872E+00     -9.3655815696253530E-01      1.0929491822588813E+00     -8.4336592265381405E-01     -2.3317277398333647E+00     -9.6279952108610044E-17     -5.5172732399608904E-01      8.4336592333051430E-01     -2.3317277383625412E+00
    2    9     1.1769E-23     1.0432E-09     -2.0263382656232469E+00      1.2366302222042156E+00      9.3655815785475260E-01      1.0929491811819161E+00      1.9475825102318109E-16      3.0292844388367071E+00     -9.3655815586406843E-01      1.0929491813438690E+00     -8.4336592304914981E-01     -2.3317277390774085E+00     -1.0641468390951637E-16     -5.5172732447627537E-01      8.4336592303534286E-01     -2.3317277390696112E+00
    2   10     1.1730E-23     9.0049E-10      2.0263382656191511E+00      1.2366302222045458E+00      9.3655815586157543E-01      1.0929491813438859E+00      1.7620984616383049E-16      3.0292844388367071E+00     -9.3655815785724572E-01      1.0929491811818990E+00     -8.4336592303819413E-01     -2.3317277390690823E+00     -9.6279952108610044E-17     -5.5172732447627537E-01      8.4336592304629843E-01     -2.3317277390779374E+00
    2   11     8.6388E-22     1.5050E-09      1.0885756618918923E+00      3.6540645743878630E+00      9.3655815759270367E-01      1.0929491798369513E+00      1.7620984616383049E-16      3.0292844375958938E+00     -9.3655815720999491E-01      1.0929491816906374E+00     -8.4336592350489237E-01     -2.3317277379675336E+00     -9.9162065022010874E-17     -5.5172732450721007E-01      8.4336592260166021E-01     -2.3317277403269769E+00
    2   12     4.3658E-22     1.5129E-09     -1.3049798363723528E+00      2.6172201418259036E+00      9.3655815718379098E-01      1.0929491819504438E+00      1.9475825102318109E-16      3.0292844385810489E+00     -9.3655815736703152E-01      1.0929491796712660E+00     -8.4336592253337772E-01     -2.3317277405533048E+00     -1.0064959427476227E-16     -5.5172732452896200E-01      8.4336592358270712E-01     -2.3317277377618857E+00
    2   13     2.7685E-22     7.0138E-10     -3.6683731987750556E-01      3.1661823634181385E-01      9.3655815727565661E-01      1.0929491813748502E+00      1.9475825102318109E-16      3.0292844390143143E+00     -9.3655815765370198E-01      1.0929491827410724E+00     -8.4336592285682632E-01     -2.3317277398690925E+00     -1.0516128434790838E-16     -5.5172732497624566E-01      8.4336592329589577E-01     -2.3317277386256903E+00
    2   14     8.6395E-22     1.5051E-09     -1.0885756618943809E+00      3.6540645743869375E+00      9.3655815720750202E-01      1.0929491816906545E+00      1.9475825102318109E-16      3.0292844375958938E+00     -9.3655815759519667E-01      1.0929491798369344E+00     -8.4336592260451149E-01     -2.3317277403264476E+00     -1.0353685656643691E-16     -5.5172732450720985E-01      8.4336592350204120E-01     -2.3317277379680625E+00
    2   15     2.3579E-29     6.6926E-10     -2.6400539453974137E-12      1.0465256043970357E+00      9.3655815831906575E-01      1.0929491812416996E+00      1.7981044105847766E-16      3.0292844384946460E+00     -9.3655815832155875E-01      1.0929491812416827E+00     -8.4336592301179070E-01     -2.3317277389377864E+00     -1.0641468390951637E-16     -5.5172732417262516E-01      8.4336592300893953E-01     -2.3317277389383153E+00
    2   16     2.7577E-22     9.0489E-10      2.0044911809606922E-01     -1.5019986099799238E+00      9.3655815731838399E-01      1.0929491821417303E+00      1.7895974357378292E-16      3.0292844390101186E+00     -9.3655815748023019E-01      1.0929491818278483E+00     -8.4336592310739178E-01     -2.3317277388518085E+00     -1.0641468390951637E-16     -5.5172732294523774E-01      8.4336592327178028E-01     -2.3317277397048253E+00
    2   17     2.7546E-22     9.0653E-10     -2.0044911809145780E-01     -1.5019986099830716E+00      9.3655815747773730E-01      1.0929491818278652E+00      1.9200888269936844E-16      3.0292844390101186E+00     -9.3655815732087699E-01      1.0929491821417134E+00     -8.4336592327463167E-01     -2.3317277397042959E+00     -9.6279952108610044E-17     -5.5172732294523774E-01      8.4336592310454039E-01     -2.3317277388523379E+00
    2   18     2.7677E-22     7.0718E-10      3.6683731987708523E-01      3.1661823633965569E-01      9.3655815765120898E-01      1.0929491827410893E+00      1.7620984616383049E-16      3.0292844390143143E+00     -9.3655815727814951E-01      1.0929491813748335E+00     -8.4336592329874704E-01     -2.3317277386251609E+00     -9.7538979827236875E-17     -5.5172732497624566E-01      8.4336592285397505E-01     -2.3317277398696215E+00
    2   19     2.1697E-28     5.7734E-10     -3.0550708390140805E-12      1.9032530387197710E+00      9.3655815762947714E-01      1.0929491806602685E+00      1.7981148022614338E-16      3.0292844394987481E+00     -9.3655815763144001E-01      1.0929491806612603E+00     -8.4336592304557512E-01     -2.3317277391330924E+00     -1.0641468390951637E-16     -5.5172732447965112E-01      8.4336592304220637E-01     -2.3317277391349598E+00
    2   20     9.5622E-23     1.3859E-09     -3.7118657486762063E-01      2.0304338644432827E+00      9.3655815706826528E-01      1.0929491818049486E+00      1.9287625031753525E-16      3.0292844395872969E+00     -9.3655815793592812E-01      1.0929491794088662E+00     -8.4336592251232378E-01     -2.3317277405826782E+00     -9.6279952108610044E-17     -5.5172732453637707E-01      8.4336592358267004E-01     -2.3317277377366628E+00
    2   21     6.8952E-27     6.1620E-10      2.0988858954074529E-11     -1.5463271064027950E+00      9.3655815739492343E-01      1.0929491819720873E+00      1.7981087379543272E-16      3.0292844390046145E+00     -9.3655815739529036E-01      1.0929491819765140E+00     -8.4336592324275172E-01     -2.3317277392228095E+00     -1.0641468390951637E-16     -5.5172732297461058E-01      8.4336592323695514E-01     -2.3317277392336417E+00
    2   22     1.3986E-28     3.7115E-10     -4.4322096797371272E-12      5.0437264273592408E-01      9.3655815770646145E-01      1.0929491818648513E+00      1.7981175023989907E-16      3.0292844388738533E+00     -9.3655815770897344E-01      1.0929491818654538E+00     -8.4336592306465441E-01     -2.3317277391731639E+00     -1.0641468390951637E-16     -5.5172732478520470E-01      8.4336592306157687E-01     -2.3317277391743354E+00
    2   23     9.5781E-23     1.3850E-09      3.7118657486816126E-01      2.0304338644453441E+00      9.3655815793343533E-01      1.0929491794088830E+00      1.7809393154248397E-16      3.0292844395872969E+00     -9.3655815707075807E-01      1.0929491818049317E+00     -8.4336592358552143E-01     -2.3317277377361338E+00     -1.0641468390951637E-16     -5.5172732453637718E-01      8.4336592250947229E-01     -2.3317277405832075E+00
    3    1     2.0970E-22     8.1273E-10      3.6021499533931534E-01      6.7269724267416875E-01      8.9563504579758467E-17      1.5397171994679533E+00      2.0076445704917937E-16      3.2358077120808724E+00     -9.2439698897783951E-01     -9.9602400808176547E-02     -8.0351353086113875E-01     -2.2881600551970922E+00      8.0351353080359456E-01     -2.2881600537723017E+00      9.2439698877516452E-01     -9.9602402469982837E-02
    3    2     2.8596E-22     7.4830E-10     -1.6228985975167576E+00     -1.1763120155615345E+00      9.8991241903943559E-17      1.5397171990054079E+00      1.9553843647547067E-16      3.2358077118509572E+00     -9.2439698811145099E-01     -9.9602400151287393E-02     -8.0351353047104768E-01     -2.2881600543363039E+00      8.0351353103667134E-01     -2.2881600543749432E+00      9.2439698901058931E-01     -9.9602400843548461E-02
    3    3     1.1205E-21     6.4258E-10     -9.5463896927399794E-01     -1.1797137174782557E+00      9.8991241903943559E-17      1.5397171990645333E+00      1.9554854459237692E-16      3.2358077118987212E+00     -9.2439698855833152E-01     -9.9602399571305608E-02     -8.0351353065381659E-01     -2.2881600549729431E+00      8.0351353096715050E-01     -2.2881600543489844E+00      9.2439698887884603E-01     -9.9602400916337680E-02
    3    4     2.6965E-29     9.9035E-10      5.8974556613470729E-13     -3.9595419827785618E+00      9.8991241903943559E-17      1.5397171990354943E+00      1.9802416114818705E-16      3.2358077119294020E+00     -9.2439698878902832E-01     -9.9602400366598148E-02     -8.0351353095941813E-01     -2.2881600531494022E+00      8.0351353095669342E-01     -2.2881600531483177E+00      9.2439698878641996E-01     -9.9602400367066801E-02
    3    5     3.2514E-24     9.5437E-10      2.0355868650877906E+00     -2.2024863313747170E-01      9.8991241903943559E-17      1.5397171989028589E+00      1.9581394038776372E-16      3.2358077117517805E+00     -9.2439698940642734E-01     -9.9602400846069722E-02     -8.0351353076581900E-01     -2.2881600547011351E+00      8.0351353091647848E-01     -2.2881600538823217E+00      9.2439698718565044E-01     -9.9602401030893933E-02
    3    6     3.7101E-22     9.0088E-10     -1.4008459671556286E+00      1.8705061124805238E+00      9.8991241903943559E-17      1.5397171983093940E+00      1.9589697843633955E-16      3.2358077115578250E+00     -9.2439698828464012E-01     -9.9602402196889303E-02     -8.0351353074522858E-01     -2.2881600548869456E+00      8.0351353098033418E-01     -2.2881600540312896E+00      9.2439698911009804E-01     -9.9602400648631489E-02
    3    7     2.8579E-22     6.5215E-10      1.6228985975141679E+00     -1.1763120155614435E+00      8.9563504579758467E-17      1.5397171990054079E+00      2.0072088305111524E-16      3.2358077118509572E+00     -9.2439698901316403E-01     -9.9602400843042310E-02     -8.0351353103942202E-01     -2.2881600543757856E+00      8.0351353046829699E-01     -2.2881600543354614E+00      9.2439698810887627E-01     -9.9602400151793627E-02
    3    8     6.6780E-26     8.3981E-10     -8.5228121633504719E-12     -2.2814118172305804E+00      9.8991241903943559E-17      1.5397171988739948E+00      1.9802337342890284E-16      3.2358077116863369E+00     -9.2439698864510511E-01     -9.9602400534661129E-02     -8.0351353189363728E-01     -2.2881600536081499E+00      8.0351353187855468E-01     -2.2881600536229696E+00      9.2439698864825959E-01     -9.9602400539168703E-02
    3    9     2.6237E-22     1.4245E-09     -2.2444641089386998E-09      4.5621798297910416E+00      9.8991241903943559E-17      1.5397171975740260E+00      1.9802484288824978E-16      3.2358077099809428E+00     -9.2439698880083521E-01     -9.9602401581435129E-02     -8.0351353084664401E-01     -2.2881600545178906E+00      8.0351353084955890E-01     -2.2881600544886287E+00      9.2439698881966537E-01     -9.9602401555225234E-02
    3   10     3.7068E-22     9.0416E-10      1.4008459671540894E+00      1.8705061124779747E+00      8.9563504579758467E-17      1.5397171983093940E+00      2.0036236494510303E-16      3.2358077115578254E+00     -9.2439698911267265E-01     -9.9602400648125144E-02     -8.0351353098308476E-01     -2.2881600540321316E+00      8.0351353074247800E-01     -2.2881600548861032E+00      9.2439698828206551E-01     -9.9602402197395357E-02
    3   11     2.6395E-29     7.6124E-10     -4.2289527052286097E-14      2.3779334938281962E+00      9.8991241903943559E-17      1.5397171972675940E+00      1.9803230081284187E-16      3.2358077125110789E+00     -9.2439698882481713E-01     -9.9602401615157002E-02     -8.0351353083048926E-01     -2.2881600544763070E+00      8.0351353082773458E-01     -2.2881600544754881E+00      9.2439698882223209E-01     -9.9602401615683789E-02
    3   12     9.8111E-22     1.4753E-09     -8.7658248922362914E-01      4.1260290759662350E+00      9.4277373241851050E-17      1.5397171976631252E+00      2.0237870935822283E-16      3.2358077101975828E+00     -9.2439698870450637E-01     -9.9602401675192048E-02     -8.0351353082076182E-01     -2.2881600545988987E+00      8.0351353087287269E-01     -2.2881600543538214E+00      9.2439698888790311E-01     -9.9602401384855738E-02
    3   13     2.8916E-24     1.0657E-09      1.8694394147733469E+00     -2.5141672515642126E+00      9.8991241903943559E-17      1.5397171988969562E+00      1.9553798396589352E-16      3.2358077117436963E+00     -9.2439698867339215E-01     -9.9602400467958235E-02     -8.0351353159479533E-01     -2.2881600536779545E+00      8.0351352958432409E-01     -2.2881600534713264E+00      9.2439698879385601E-01     -9.9602400535276150E-02
    3   14     3.2228E-24     9.2002E-10     -2.0355868650918896E+00     -2.2024863313694010E-01      8.9563504579758467E-17      1.5397171989028586E+00      2.0044791138310207E-16      3.2358077117517805E+00     -9.2439698718822505E-01     -9.9602401030387894E-02     -8.0351353091922917E-01     -2.2881600538831646E+00      8.0351353076306831E-01     -2.2881600547002927E+00      9.2439698940385273E-01     -9.9602400846575956E-02
    3   15     3.9690E-29     4.1134E-10     -3.8580568516092747E-12     -1.0925461223060209E+00      9.8991241903943559E-17      1.5397171989404304E+00      1.9802196605222796E-16      3.2358077118310016E+00     -9.2439698901171086E-01     -9.9602400323184168E-02     -8.0351353096452982E-01     -2.2881600545297025E+00      8.0351353096184952E-01     -2.2881600545283374E+00      9.2439698900900880E-01     -9.9602400323692941E-02
    3   16     9.8056E-22     1.4848E-09      8.7658248922133097E-01      4.1260290759665912E+00      9.4277373241850976E-17      1.5397171976631252E+00      1.9388109813658041E-16      3.2358077101975828E+00     -9.2439698889047783E-01     -9.9602401384349573E-02     -8.0351353087562327E-01     -2.2881600543546639E+00      8.0351353081801125E-01     -2.2881600545980558E+00      9.2439698870193165E-01     -9.9602401675698213E-02
    3   17     2.8747E-24     1.0729E-09     -1.8694394147776061E+00     -2.5141672515650137E+00      8.9563504579758467E-17      1.5397171988969562E+00      2.0072358347239115E-16      3.2358077117436963E+00     -9.2439698879643073E-01     -9.9602400534770097E-02     -8.0351352958707467E-01     -2.2881600534721693E+00      8.0351353159204475E-01     -2.2881600536771121E+00      9.2439698867081754E-01     -9.9602400468464414E-02
    3   18     2.3664E-29     6.0818E-10     -2.6490596557811873E-12     -3.5686695627464217E-02      9.8991241903943559E-17      1.5397171985898375E+00      1.9802337400650359E-16      3.2358077115338664E+00     -9.2439698976235452E-01     -9.9602400897322460E-02     -8.0351353078685339E-01     -2.2881600541598694E+00      8.0351353078410304E-01     -2.2881600541590270E+00      9.2439698975977991E-01     -9.9602400897828652E-02
    3   19     2.0983E-22     8.1303E-10     -3.6021499533996276E-01      6.7269724267236153E-01      9.8991241903943559E-17      1.5397171994679533E+00      1.9549490075566241E-16      3.2358077120808724E+00     -9.2439698877773924E-01     -9.9602402469476770E-02     -8.0351353080634502E-01     -2.2881600537731446E+00      8.0351353085838828E-01     -2.2881600551962493E+00      9.2439698897526479E-01     -9.9602400808682726E-02
    3   20     4.6968E-25     3.4835E-10     -4.0672984133705556E-11      4.8876017941938033E-01      9.8991241903943559E-17      1.5397171992600853E+00      1.9802337775742217E-16      3.2358077119530178E+00     -9.2439698913606239E-01     -9.9602401472938876E-02     -8.0351353081337562E-01     -2.2881600544386616E+00      8.0351353082821275E-01     -2.2881600543684568E+00      9.2439698911210011E-01     -9.9602401447835998E-02
    3   21     1.1201E-21     6.4275E-10      9.5463896927056291E-01     -1.1797137174782717E+00      8.9563504579758467E-17      1.5397171990645333E+00      2.0071065115538222E-16      3.2358077118987212E+00     -9.2439698888142063E-01     -9.9602400915831418E-02     -8.0351353096990108E-01     -2.2881600543498268E+00      8.0351353065106601E-01     -2.2881600549721006E+00      9.2439698855575692E-01     -9.9602399571811884E-02
    4    1     1.0829E-21     2.1081E-09      1.3516149718737431E+00      1.7948522099516881E+00      8.2099160849289410E-17      1.4113950823660890E+00      1.9361889054524200E-16      3.1105909377201781E+00     -1.3819299021833888E+00     -5.9773858457519591E-01     -9.1884225631370130E-17     -5.0425208860327908E-01     -5.1894162738461047E-16     -2.8222567623530757E+00      1.3819299020417748E+00     -5.9773858637151278E-01
    4    2     1.5656E-21     1.1346E-09      1.1450925319268410E+00     -3.2881033342044126E+00      8.2099160849289410E-17      1.4113950830741393E+00      1.8093934778810912E-16      3.1105909380128067E+00     -1.3819299020621565E+00     -5.9773858533118174E-01     -9.3379670824897413E-17     -5.0425208760232865E-01     -5.3694551076171009E-16     -2.8222567611583234E+00      1.3819299021975313E+00     -5.9773858372895183E-01
    4    3     1.1670E-21     1.3842E-09      9.1316083122554048E-01      3.9398681627450913E+00      9.0741177780793554E-17      1.4113950818435730E+00      1.8093934778810912E-16      3.1105909364479456E+00     -1.3819299021324571E+00     -5.9773858539388935E-01     -9.3587690973880939E-17     -5.0425208860381532E-01     -5.1777994303202812E-16     -2.8222567623634922E+00      1.3819299020855096E+00     -5.9773858589213402E-01
