    1   11     3.0741E-23     6.4316E-11     -5.7604059158561871E-01     -4.1851798762925307E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623414080E+00      0.0000000000000000E+00      4.3701602448686006E-01      1.3449970238819788E+00     -1.1441228055747557E+00      8.3125387560020592E-01     -1.1441228057230106E+00     -8.3125387558876818E-01      4.3701602446410248E-01     -1.3449970238998039E+00
    1   12     2.1350E-25     6.4594E-11     -1.9412598360758171E+00     -2.5904217172714310E-12      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623542225E+00      0.0000000000000000E+00      4.3701602447666099E-01      1.3449970239009981E+00     -1.1441228055608357E+00      8.3125387558812980E-01     -1.1441228055598163E+00     -8.3125387559135699E-01      4.3701602447732307E-01     -1.3449970239016089E+00
    1   13     9.2999E-24     8.8335E-11      7.1022626954411894E-01      2.1858516977335358E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623582643E+00      0.0000000000000000E+00      4.3701602436309034E-01      1.3449970238404629E+00     -1.1441228056869972E+00      8.3125387546058027E-01     -1.1441228055722494E+00     -8.3125387560164243E-01      4.3701602446786736E-01     -1.3449970238961673E+00
    1   14     2.0917E-25     7.2993E-11     -5.9988227989296294E-01     -1.8462478169071566E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623558381E+00      0.0000000000000000E+00      4.3701602447446480E-01      1.3449970238994802E+00     -1.1441228055819530E+00      8.3125387560103303E-01     -1.1441228056668393E+00     -8.3125387544408624E-01      4.3701602447021259E-01     -1.3449970238784930E+00
    1   15     6.5769E-24     6.6598E-11     -1.8593965136130146E+00     -1.3509306435282575E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623472338E+00      0.0000000000000000E+00      4.3701602447752885E-01      1.3449970238911364E+00     -1.1441228055859372E+00      8.3125387559967734E-01     -1.1441228055594195E+00     -8.3125387547714602E-01      4.3701602447127597E-01     -1.3449970239066580E+00
    2    1     1.0409E-23     2.9037E-10     -1.8312827178989224E+00      9.3132646012647180E-01      1.3380347808722874E+00      0.0000000000000000E+00      6.2108700247243220E-01      1.0757542441515198E+00     -6.6901739039028751E-01      1.1587721114196468E+00     -1.2421740047747116E+00     -4.0827470849234205E-12     -6.6901739044860575E-01     -1.1587721114204603E+00      6.2108700243967052E-01     -1.0757542441434700E+00
    2    2     3.3685E-23     1.3655E-10     -9.7715378830653843E-01      5.8693972939572236E-01      1.3380347808137616E+00      0.0000000000000000E+00      6.2108700248701532E-01      1.0757542441410781E+00     -6.6901739033255603E-01      1.1587721114693901E+00     -1.2421740050395900E+00     -4.0827470849234205E-12     -6.6901739035482133E-01     -1.1587721112366884E+00      6.2108700251156279E-01     -1.0757542442453203E+00
    2    3     6.3461E-24     3.1273E-10      1.7221937325888939E+00      1.1202741251934387E+00      1.3380347808465525E+00      0.0000000000000000E+00      6.2108700231771163E-01      1.0757542440796766E+00     -6.6901739052537301E-01      1.1587721114400995E+00     -1.2421740048631176E+00     -4.0827470849234205E-12     -6.6901739042347907E-01     -1.1587721113662355E+00      6.2108700246314308E-01     -1.0757542441890104E+00
    2    4     2.6657E-23     1.1864E-10     -1.9727821957267869E-02     -1.1397098687650562E+00      1.3380347807597954E+00      0.0000000000000000E+00      6.2108700250074522E-01      1.0757542442460672E+00     -6.6901739038299635E-01      1.1587721112856313E+00     -1.2421740049273788E+00     -3.6939140292164286E-12     -6.6901739051339870E-01     -1.1587721113620828E+00      6.2108700255286298E-01     -1.0757542442381325E+00
    2    5     2.1342E-26     3.7287E-10     -8.4316915695632404E-13     -1.6663137032639526E-12      1.3380347803196819E+00      0.0000000000000000E+00      6.2108700275578765E-01      1.0757542446997315E+00     -6.6901739016572004E-01      1.1587721109046145E+00     -1.2421740055141686E+00     -3.9057351063851876E-12     -6.6901739016306094E-01     -1.1587721109112963E+00      6.2108700275665896E-01     -1.0757542446987980E+00
    2    6     1.8049E-23     1.0948E-09     -1.1249930414768448E+00      1.9485451060726779E+00      1.3380347796789003E+00      0.0000000000000000E+00      6.2108700316403709E-01      1.0757542453175823E+00     -6.6901738971908697E-01      1.1587721101833128E+00     -1.2421740062777447E+00     -4.0827470849234205E-12     -6.6901738982550907E-01     -1.1587721103127839E+00      6.2108700307955944E-01     -1.0757542452481854E+00
    2    7     4.0974E-23     1.2303E-10      9.9688161020025035E-01     -5.5277013946426068E-01      1.3380347808340645E+00      0.0000000000000000E+00      6.2108700249303561E-01      1.0757542442012651E+00     -6.6901739037385299E-01      1.1587721112761014E+00     -1.2421740049756242E+00     -3.6939140292164286E-12     -6.6901739047104647E-01     -1.1587721113155887E+00      6.2108700238139258E-01     -1.0757542443306718E+00
    2    8     3.9757E-24     1.1250E-09      1.0915531894918269E+00      1.8906255834791701E+00      1.3380347818139295E+00      0.0000000000000000E+00      6.2108700182175025E-01      1.0757542431263809E+00     -6.6901739095728052E-01      1.1587721121945800E+00     -1.2421740039864357E+00     -4.0827470849234205E-12     -6.6901739082674438E-01     -1.1587721120802359E+00      6.2108700201328226E-01     -1.0757542433709129E+00
    2    9     4.0262E-26     1.1231E-09     -2.1831063790936769E+00     -1.1350730959878284E-12      1.3380347816868210E+00      0.0000000000000000E+00      6.2108700199044109E-01      1.0757542433694263E+00     -6.6901739088665402E-01      1.1587721122136216E+00     -1.2421740036987814E+00     -3.8923144108937487E-12     -6.6901739088102707E-01     -1.1587721122174028E+00      6.2108700199516809E-01     -1.0757542433730864E+00
    2   10     3.2650E-23     1.3627E-10     -9.7715378830373734E-01     -5.8693972940470551E-01      1.3380347808137603E+00      0.0000000000000000E+00      6.2108700250912707E-01      1.0757542442441028E+00     -6.6901739035833596E-01      1.1587721112309637E+00     -1.2421740050395911E+00     -3.6939140292164286E-12     -6.6901739032904028E-01     -1.1587721114751128E+00      6.2108700248945237E-01     -1.0757542441422980E+00
    2   11     1.7293E-23     1.0946E-09     -1.1249930414697231E+00     -1.9485451060821670E+00      1.3380347796788996E+00      0.0000000000000000E+00      6.2108700307712339E-01      1.0757542452469671E+00     -6.6901738982902403E-01      1.1587721103070598E+00     -1.2421740062777451E+00     -3.6939140292164286E-12     -6.6901738971557156E-01     -1.1587721101890360E+00      6.2108700316647369E-01     -1.0757542453188018E+00
    2   12     1.2561E-23     3.0798E-10      1.0908898532074676E-01     -2.0516005852754970E+00      1.3380347809391349E+00      0.0000000000000000E+00      6.2108700244830306E-01      1.0757542441379886E+00     -6.6901739042041386E-01      1.1587721113509739E+00     -1.2421740049174879E+00     -3.6939140292164286E-12     -6.6901739047086650E-01     -1.1587721113816924E+00      6.2108700239807824E-01     -1.0757542440300882E+00
    2   13     1.1149E-27     1.1011E-09      2.2499860829815477E+00     -9.0143295347880481E-13      1.3380347794296672E+00      0.0000000000000000E+00      6.2108700309251530E-01      1.0757542453808659E+00     -6.6901738986146886E-01      1.1587721103384705E+00     -1.2421740061351576E+00     -4.0721147024475180E-12     -6.6901738985785830E-01     -1.1587721103445296E+00      6.2108700309496023E-01     -1.0757542453819540E+00
    2   14     9.8378E-24     2.9029E-10     -1.8312827178970561E+00     -9.3132646013579301E-01      1.3380347808722863E+00      0.0000000000000000E+00      6.2108700243723458E-01      1.0757542441422518E+00     -6.6901739045212050E-01      1.1587721114147358E+00     -1.2421740047747127E+00     -3.6939140292164286E-12     -6.6901739038677166E-01     -1.1587721114253695E+00      6.2108700247486925E-01     -1.0757542441527395E+00
    2   15     1.3206E-23     3.0835E-10      1.0908898531347393E-01      2.0516005852707351E+00      1.3380347809391360E+00      0.0000000000000000E+00      6.2108700239564130E-01      1.0757542440288685E+00     -6.6901739047438236E-01      1.1587721113759699E+00     -1.2421740049174865E+00     -4.0827470849234205E-12     -6.6901739041689912E-01     -1.1587721113566984E+00      6.2108700245073889E-01     -1.0757542441392065E+00
    2   16     5.9015E-24     3.0821E-10      1.7221937325920078E+00     -1.1202741251932271E+00      1.3380347808465518E+00      0.0000000000000000E+00      6.2108700246070703E-01      1.0757542441877923E+00     -6.6901739042699404E-01      1.1587721113605112E+00     -1.2421740048631185E+00     -3.6939140292164286E-12     -6.6901739052185738E-01     -1.1587721114458223E+00      6.2108700232014857E-01     -1.0757542440808963E+00
    2   17     4.2132E-23     1.2033E-10      9.9688161020021593E-01      5.5277013946179498E-01      1.3380347808340651E+00      0.0000000000000000E+00      6.2108700237895587E-01      1.0757542443294525E+00     -6.6901739047456199E-01      1.1587721113098655E+00     -1.2421740049756236E+00     -4.0827470849234205E-12     -6.6901739037033814E-01     -1.1587721112818257E+00      6.2108700249547166E-01     -1.0757542442024832E+00
    2   18     3.6257E-24     1.1250E-09      1.0915531894942525E+00     -1.8906255834823253E+00      1.3380347818139307E+00      0.0000000000000000E+00      6.2108700201084532E-01      1.0757542433696932E+00     -6.6901739083026024E-01      1.1587721120745134E+00     -1.2421740039864344E+00     -3.6939140292164286E-12     -6.6901739095376578E-01     -1.1587721122003047E+00      6.2108700182418608E-01     -1.0757542431275986E+00
    2   19     2.7593E-23     1.2293E-10     -1.9727821960182201E-02      1.1397098687615053E+00      1.3380347807597948E+00      0.0000000000000000E+00      6.2108700255042681E-01      1.0757542442369141E+00     -6.6901739051691356E-01      1.1587721113563587E+00     -1.2421740049273795E+00     -4.0827470849234205E-12     -6.6901739037948071E-01     -1.1587721112913545E+00      6.2108700250318216E-01     -1.0757542442472867E+00
    3    1     3.0139E-23     3.8138E-11     -1.1611126582334878E-11      6.6753792690789027E-01      5.6126824593736380E-01      0.0000000000000000E+00      1.6559497610351073E+00      1.9107255629628537E-12     -3.1050700980805160E-12      1.3938466002981573E+00     -5.6126824593966151E-01     -8.6039454587929954E-13     -1.6559497610368124E+00     -4.7045512007651438E-12      6.0968503272871627E-13     -1.3938466001854082E+00
    3    2     4.2587E-23     3.1739E-11      1.1864209410227651E+00      1.3006610777065009E+00      5.6126824590020719E-01      0.0000000000000000E+00      1.6559497610162321E+00      1.9107255629628537E-12     -3.3490607252184604E-12      1.3938466002069021E+00     -5.6126824595216074E-01     -8.7903130452127410E-13     -1.6559497610496745E+00     -4.6085068907848202E-12      6.1197638112005077E-13     -1.3938466001985423E+00
    3    3     2.5971E-26     8.5369E-11      2.4692820711338417E+00      2.7605970016296396E-12      5.6126824584897272E-01      0.0000000000000000E+00      1.6559497609208382E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938466002043963E+00     -5.6126824597545000E-01     -8.0237714298403583E-13     -1.6559497610594607E+00     -4.4320001806487104E-12      5.7693242566423788E-13     -1.3938466002064616E+00
    3    4     2.7803E-23     3.8705E-11     -5.2418954328185942E-12     -6.6753792691258584E-01      5.6126824593731062E-01      0.0000000000000000E+00      1.6559497610350500E+00      2.1118545695905227E-12     -3.2351126464917847E-12      1.3938466001834189E+00     -5.6126824593971458E-01     -8.0167596000905339E-13     -1.6559497610368699E+00     -4.2564987054541777E-12      5.5393767879201931E-13     -1.3938466003001468E+00
    3    5     4.3568E-23     2.3887E-11     -1.1864209410256417E+00     -1.3006610777114374E+00      5.6126824594189983E-01      0.0000000000000000E+00      1.6559497610410114E+00      1.9107255629628537E-12     -3.2676590679753804E-12      1.3938466001965242E+00     -5.6126824591046809E-01     -7.9531403742400983E-13     -1.6559497610248954E+00     -4.3994937211144693E-12      6.1197638112005077E-13     -1.3938466002089203E+00
    3    6     4.4093E-23     2.3861E-11     -1.1864209410298647E+00      1.3006610777041780E+00      5.6126824594181424E-01      0.0000000000000000E+00      1.6559497610409672E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938466002068848E+00     -5.6126824591055369E-01     -8.7903130452127410E-13     -1.6559497610249394E+00     -4.5263553916400279E-12      6.1197638112005077E-13     -1.3938466001985597E+00
    3    7     6.1685E-26     7.1499E-11     -2.4692820711435668E+00     -6.7366549572647691E-12      5.6126824596499381E-01      0.0000000000000000E+00      1.6559497610506968E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938466002044030E+00     -5.6126824585942892E-01     -7.9531403742400983E-13     -1.6559497609296019E+00     -4.4185247589524400E-12      6.1197638112005077E-13     -1.3938466002064549E+00
    3    8     2.5176E-23     5.1537E-11     -4.9936856776076330E-12      2.2565029069376088E+00      5.6126824592716063E-01      0.0000000000000000E+00      1.6559497610306066E+00      1.9107255629628537E-12     -3.1153758833848500E-12      1.3938466001345979E+00     -5.6126824593745639E-01     -8.7377244227025700E-13     -1.6559497610392588E+00     -4.6865769004631293E-12      6.1197638112005077E-13     -1.3938466001897365E+00
    3    9     4.1251E-23     3.2129E-11      1.1864209410268773E+00     -1.3006610777058387E+00      5.6126824590013735E-01      0.0000000000000000E+00      1.6559497610161964E+00      2.1118545695905227E-12     -3.2613648571832846E-12      1.3938466001965180E+00     -5.6126824595223057E-01     -8.7903130452127410E-13     -1.6559497610497105E+00     -4.4747606255692119E-12      5.5369291625147441E-13     -1.3938466002089265E+00
    3   10     8.1675E-25     5.4445E-11      1.1050290538950820E+00      9.7431826389566457E-13      5.6126824582623369E-01      0.0000000000000000E+00      1.6559497610773046E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938466002005636E+00     -5.6126824598351766E-01     -7.9531403742400983E-13     -1.6559497610616865E+00     -4.4142665198288375E-12      6.1197638112005077E-13     -1.3938466002025898E+00
    3   11     2.3119E-23     5.1478E-11      1.6178576954142440E-12     -2.2565029069415674E+00      5.6126824592723201E-01      0.0000000000000000E+00      1.6559497610306562E+00      2.1118545695905227E-12     -3.2300509793558282E-12      1.3938466001877439E+00     -5.6126824593738500E-01     -7.9531403742400983E-13     -1.6559497610392093E+00     -4.2564987054541777E-12      5.5369291625147441E-13     -1.3938466001365903E+00
    3   12     3.8034E-25     4.2544E-11     -1.1050290539072223E+00     -2.7319747444010693E-12      5.6126824597316693E-01      0.0000000000000000E+00      1.6559497610529770E+00      2.0695519570641294E-12     -3.3490607252184604E-12      1.3938466002005498E+00     -5.6126824583658441E-01     -8.7903130452127410E-13     -1.6559497610860139E+00     -4.5593133078633495E-12      5.5369291625147441E-13     -1.3938466002026038E+00
    3   13     9.5958E-22     5.0250E-11      2.1850395326645025E-11     -5.0107248307973330E-11      5.6126824601725656E-01      0.0000000000000000E+00      1.6559497610834473E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938466002423677E+00     -5.6126824598021507E-01     -7.9531403742400983E-13     -1.6559497610530405E+00     -4.4185580358943336E-12      5.9945105727758687E-13     -1.3938466001319725E+00
    4    1     2.8439E-25     7.6948E-11     -1.2390635108591157E+00      2.1461209544962236E+00      6.7476250657930514E-01      0.0000000000000000E+00      1.6964754324697444E+00      1.6243199871141367E-12     -3.3738125326846702E-01      5.8436147214863710E-01     -8.4823771621948141E-01      1.4691908213094385E+00     -3.3738125327380614E-01     -5.8436147224015356E-01     -8.4823771618083799E-01     -1.4691908214572407E+00
    4    2     2.4308E-24     5.2326E-11      8.1447904229190815E-01     -1.4107190830323040E+00      6.7476250655656467E-01      0.0000000000000000E+00      1.6964754324611706E+00      1.6243199871141367E-12     -3.3738125328068558E-01      5.8436147222510848E-01     -8.4823771620286892E-01      1.4691908214425706E+00     -3.3738125332358598E-01     -5.8436147218734191E-01     -8.4823771630949207E-01     -1.4691908213748093E+00
    4    3     1.8089E-26     4.7243E-11      1.1808908122568040E+00      7.7917271197044613E-13      6.7476250648756997E-01      0.0000000000000000E+00      1.6964754325194524E+00      1.6278903492867630E-12     -3.3738125330044799E-01      5.8436147221717649E-01     -8.4823771627418254E-01      1.4691908213923657E+00     -3.3738125330013197E-01     -5.8436147222582469E-01     -8.4823771626779831E-01     -1.4691908214038460E+00
    4    4     8.3262E-26     7.0125E-11     -1.2390635108480612E+00     -2.1461209545116269E+00      6.7476250657930514E-01      0.0000000000000000E+00      1.6964754324697444E+00      1.7953010383893091E-12     -3.3738125327425489E-01      5.8436147223137547E-01     -8.4823771618747112E-01      1.4691908214455678E+00     -3.3738125326801827E-01     -5.8436147215741530E-01     -8.4823771621284816E-01     -1.4691908213211113E+00
    4    5     1.7276E-24     5.0917E-11      8.1447904228370616E-01      1.4107190830331460E+00      6.7476250655656467E-01      0.0000000000000000E+00      1.6964754324611706E+00      1.7953010383893091E-12     -3.3738125332403479E-01      5.8436147217856371E-01     -8.4823771631612521E-01      1.4691908213631364E+00     -3.3738125328023683E-01     -5.8436147223388657E-01     -8.4823771619623578E-01     -1.4691908214542435E+00
    4    6     1.4624E-26     7.7274E-11      2.4781270216153684E+00      2.1468201768506539E-12      6.7476250650627501E-01      0.0000000000000000E+00      1.6964754323690703E+00      1.6323239107364878E-12     -3.3738125330040497E-01      5.8436147221540813E-01     -8.4823771627336175E-01      1.4691908213952842E+00     -3.3738125330001140E-01     -5.8436147222414159E-01     -8.4823771626682942E-01     -1.4691908214068881E+00
    4    7     4.6468E-26     5.0410E-11     -2.4041696964270109E-01     -4.6861382702157035E-12      6.7476250655215242E-01      0.0000000000000000E+00      1.6964754324490943E+00      1.6243199871141367E-12     -3.3738125330115615E-01      5.8436147226382273E-01     -8.4823771619863964E-01      1.4691908214673390E+00     -3.3738125330123664E-01     -5.8436147226995583E-01     -8.4823771619362198E-01     -1.4691908214758633E+00
    4    8     5.6581E-25     6.4174E-11      1.2020848480597315E-01     -2.0820720321173899E-01      6.7476250662060144E-01      0.0000000000000000E+00      1.6964754324938298E+00      1.7953010383893091E-12     -3.3738125325751323E-01      5.8436147221067658E-01     -8.4823771618464494E-01      1.4691908214241445E+00     -3.3738125334800706E-01     -5.8436147224225810E-01     -8.4823771635373635E-01     -1.4691908213830396E+00
    4    9     5.4709E-26     3.4398E-11     -1.6289580846500638E+00     -1.2294125350627218E-12      6.7476250658050441E-01      0.0000000000000000E+00      1.6964754324775733E+00      1.6243199871141367E-12     -3.3738125325221807E-01      5.8436147221723478E-01     -8.4823771620539212E-01      1.4691908214249212E+00     -3.3738125325295026E-01     -5.8436147222478962E-01     -8.4823771620207100E-01     -1.4691908214340814E+00
    4   10     4.4003E-25     4.9832E-11     -5.9044540615482144E-01      1.0226814424972721E+00      6.7476250658084058E-01      0.0000000000000000E+00      1.6964754324676108E+00      1.6243199871141367E-12     -3.3738125325986867E-01      5.8436147213172529E-01     -8.4823771629551992E-01      1.4691908214389622E+00     -3.3738125327450558E-01     -5.8436147224180013E-01     -8.4823771617696198E-01     -1.4691908214572365E+00
    4   11     1.7525E-25     4.8152E-11     -5.9044540615236774E-01     -1.0226814425095050E+00      6.7476250658084058E-01      0.0000000000000000E+00      1.6964754324676108E+00      1.7953010383893091E-12     -3.3738125327495433E-01      5.8436147223302193E-01     -8.4823771618359523E-01      1.4691908214455636E+00     -3.3738125325941998E-01     -5.8436147214050349E-01     -8.4823771628888667E-01     -1.4691908214506351E+00
    4   12     9.9387E-25     6.5271E-11      1.2020848481006990E-01      2.0820720321025263E-01      6.7476250662060144E-01      0.0000000000000000E+00      1.6964754324938298E+00      1.6243199871141367E-12     -3.3738125334845576E-01      5.8436147223348001E-01     -8.4823771636036960E-01      1.4691908213713667E+00     -3.3738125325706442E-01     -5.8436147221945478E-01     -8.4823771617801180E-01     -1.4691908214358174E+00
    4   13     7.1872E-23     2.9550E-11      8.2109812709913604E-11     -9.7546338950136339E-12      6.7476250663782278E-01      0.0000000000000000E+00      1.6964754325173566E+00      1.6243199871141367E-12     -3.3738125330692503E-01      5.8436147220979806E-01     -8.4823771621857658E-01      1.4691908214152110E+00     -3.3738125330715707E-01     -5.8436147221983270E-01     -8.4823771621209365E-01     -1.4691908214283540E+00
    5    1     2.4866E-23     8.7185E-11      2.2855275400229732E-11     -1.1416536802527939E+00      1.2909944486137466E+00      0.0000000000000000E+00      6.4549722438745027E-01      1.1180339887837536E+00     -6.4549722432520762E-01      1.1180339886705679E+00     -1.2909944487483929E+00      1.3931535981100636E-12     -6.4549722442214064E-01     -1.1180339887080422E+00      6.4549722448226987E-01     -1.1180339888229323E+00
    5    2     1.8019E-25     4.2199E-12     -8.6292627246486299E-13     -1.6764853577271713E-12      1.2909944487351206E+00      0.0000000000000000E+00      6.4549722436666324E-01      1.1180339887505533E+00     -6.4549722436936063E-01      1.1180339887500277E+00     -1.2909944487369451E+00      1.2604723030519623E-12     -6.4549722437046197E-01     -1.1180339887490012E+00      6.4549722436558110E-01     -1.1180339887507866E+00
    5    3     7.4203E-24     6.9328E-11      1.7801732453201198E+00     -1.0277835024323865E+00      1.2909944486504727E+00      0.0000000000000000E+00      6.4549722437272561E-01      1.1180339887686708E+00     -6.4549722434922530E-01      1.1180339887143347E+00     -1.2909944487085023E+00      1.3931535981100636E-12     -6.4549722442548985E-01     -1.1180339887678215E+00      6.4549722426963951E-01     -1.1180339887229105E+00
    5    4     1.3545E-23     2.2885E-09     -1.1085006237551809E+00      1.9199794006685320E+00      1.2909944510549161E+00      0.0000000000000000E+00      6.4549722328654702E-01      1.1180339867890463E+00     -6.4549722538013632E-01      1.1180339905532752E+00     -1.2909944464871386E+00      1.2604723030519623E-12     -6.4549722553874866E-01     -1.1180339907404189E+00      6.4549722316304836E-01     -1.1180339866768088E+00
    5    5     1.4510E-25     2.1645E-09     -2.2170012475909813E+00      3.4100327296705660E-12      1.2909944463496479E+00      0.0000000000000000E+00      6.4549722553557864E-01      1.1180339907545500E+00     -6.4549722320860214E-01      1.1180339868215494E+00     -1.2909944507920803E+00      1.2604723030519623E-12     -6.4549722320995251E-01     -1.1180339868209666E+00      6.4549722553474620E-01     -1.1180339907552277E+00
    5    6     1.3101E-23     5.6639E-11     -2.7449199871735819E-12     -2.0555670048127332E+00      1.2909944487657685E+00      0.0000000000000000E+00      6.4549722434924828E-01      1.1180339887080417E+00     -6.4549722435269097E-01      1.1180339887086725E+00     -1.2909944487688325E+00      1.3931535981100636E-12     -6.4549722436115442E-01     -1.1180339886763542E+00      6.4549722435529844E-01     -1.1180339886771160E+00
    5    7     3.3129E-23     5.8576E-11      1.8644722043052345E-12      1.1416536802530477E+00      1.2909944486675924E+00      0.0000000000000000E+00      6.4549722445614921E-01      1.1180339887755604E+00     -6.4549722444772684E-01      1.1180339887554041E+00     -1.2909944486945468E+00      1.2604723030519623E-12     -6.4549722435350343E-01     -1.1180339887164854E+00      6.4549722435968904E-01     -1.1180339887378463E+00
    5    8     8.4683E-24     2.1653E-09     -1.1085006237590085E+00     -1.9199794006687230E+00      1.2909944510549185E+00      0.0000000000000000E+00      6.4549722316392921E-01      1.1180339866761386E+00     -6.4549722553733335E-01      1.1180339907410790E+00     -1.2909944464871361E+00      1.3931535981100636E-12     -6.4549722538155407E-01     -1.1180339905526193E+00      6.4549722328566372E-01     -1.1180339867897122E+00
