    2    5     1.0202E-19     2.8992E-08     -1.8312827341938991E+00      9.3132640887130935E-01      1.3380347970765682E+00      0.0000000000000000E+00      6.2108699520384325E-01      1.0757542258941797E+00     -6.6901739342620303E-01      1.1587721292184214E+00     -1.2421739726227214E+00     -4.0827470849234205E-12     -6.6901739961626416E-01     -1.1587721286982444E+00      6.2108699168526149E-01     -1.0757542249818579E+00
    2    6     4.1702E-19     1.1949E-08      9.9688160838063622E-01     -5.5277014051415596E-01      1.3380347932545109E+00      0.0000000000000000E+00      6.2108699726283878E-01      1.0757542308817996E+00     -6.6901739179311337E-01      1.1587721148292223E+00     -1.2421739927136886E+00     -3.6939140292164286E-12     -6.6901740185024505E-01     -1.1587721182461919E+00      6.2108698585853850E-01     -1.0757542436884859E+00
    2    7     3.5662E-25     1.1232E-07     -2.1831062806441892E+00     -3.2477476881093561E-11      1.3380348785300369E+00      0.0000000000000000E+00      6.2108694712183987E-01      1.0757541478169359E+00     -6.6901744295946830E-01      1.1587722084986423E+00     -1.2421738650295373E+00     -3.9403860326864753E-12     -6.6901744296192134E-01     -1.1587722085100014E+00      6.2108694711777002E-01     -1.0757541478111718E+00
    2    8     3.3300E-19     1.3731E-08     -9.7715378572611333E-01     -5.8693974024618334E-01      1.3380347912241364E+00      0.0000000000000000E+00      6.2108699887197183E-01      1.0757542351655369E+00     -6.6901739024141249E-01      1.1587721103154709E+00     -1.2421739991103669E+00     -3.6939140292164286E-12     -6.6901738764963414E-01     -1.1587721341986259E+00      6.2108699666450029E-01     -1.0757542248510656E+00
    2    9     4.1713E-19     1.1949E-08      9.9688160838059237E-01      5.5277014051171636E-01      1.3380347932544481E+00      0.0000000000000000E+00      6.2108698585613531E-01      1.0757542436873253E+00     -6.6901740185372982E-01      1.1587721182404151E+00     -1.2421739927137543E+00     -4.0827470849234205E-12     -6.6901739178956698E-01     -1.1587721148348926E+00      6.2108699726530892E-01     -1.0757542308830765E+00
    2   10     1.2965E-19     3.0853E-08      1.0908904414092546E-01     -2.0516005736061111E+00      1.3380348037614984E+00      0.0000000000000000E+00      6.2108699278962387E-01      1.0757542245542262E+00     -6.6901739644915903E-01      1.1587721223164122E+00     -1.2421739869001096E+00     -3.6939140292164286E-12     -6.6901740183222258E-01     -1.1587721248565364E+00      6.2108698752713531E-01     -1.0757542136301814E+00
    2   11     3.8478E-20     1.1248E-07      1.0915531356196251E+00      1.8906255003476220E+00      1.3380348912406081E+00      0.0000000000000000E+00      6.2108693013573091E-01      1.0757541233804315E+00     -6.6901745012541680E-01      1.1587722067115971E+00     -1.2421738937952902E+00     -4.0827470849234205E-12     -6.6901743743003816E-01     -1.1587721946756635E+00      6.2108694904653117E-01     -1.0757541477263064E+00
    2   12     2.7254E-19     1.1800E-08     -1.9727828195558544E-02      1.1397098707376085E+00      1.3380347858276593E+00      0.0000000000000000E+00      6.2108700300310815E-01      1.0757542344332727E+00     -6.6901740608900362E-01      1.1587721228899335E+00     -1.2421739878891083E+00     -4.0827470849234205E-12     -6.6901739270394689E-01     -1.1587721157879758E+00      6.2108699803622647E-01     -1.0757542353632097E+00
    2   13     1.7775E-19     1.0954E-07     -1.1249929930927902E+00      1.9485450314926829E+00      1.3380346777377550E+00      0.0000000000000000E+00      6.2108706436438854E-01      1.0757543425005269E+00     -6.6901732630609545E-01      1.1587720055849215E+00     -1.2421741229261345E+00     -4.0827470849234205E-12     -6.6901733730653357E-01     -1.1587720179305185E+00      6.2108705567420752E-01     -1.0757543354534833E+00
    2   14     3.8443E-20     1.1248E-07      1.0915531356220509E+00     -1.8906255003507737E+00      1.3380348912406139E+00      0.0000000000000000E+00      6.2108694904409156E-01      1.0757541477250818E+00     -6.6901743743355635E-01      1.1587721946699445E+00     -1.2421738937952840E+00     -3.6939140292164286E-12     -6.6901745012190406E-01     -1.1587722067173258E+00      6.2108693013816474E-01     -1.0757541233816454E+00
    2   15     1.0196E-19     2.8992E-08     -1.8312827341920359E+00     -9.3132640888062457E-01      1.3380347970765696E+00      0.0000000000000000E+00      6.2108699168282422E-01      1.0757542249806380E+00     -6.6901739961978046E-01      1.1587721286925221E+00     -1.2421739726227192E+00     -3.6939140292164286E-12     -6.6901739342268884E-01     -1.1587721292241473E+00      6.2108699520627852E-01     -1.0757542258953967E+00
    2   16     1.7767E-19     1.0949E-07     -1.1249929930856692E+00     -1.9485450315021728E+00      1.3380346777377568E+00      0.0000000000000000E+00      6.2108705567177058E-01      1.0757543354522630E+00     -6.6901733731004942E-01      1.1587720179247956E+00     -1.2421741229261338E+00     -3.6939140292164286E-12     -6.6901732630258059E-01     -1.1587720055906467E+00      6.2108706436682382E-01     -1.0757543425017437E+00
    2   17     1.2972E-19     3.0853E-08      1.0908904413364916E-01      2.0516005736013487E+00      1.3380348037614982E+00      0.0000000000000000E+00      6.2108698752469926E-01      1.0757542136289631E+00     -6.6901740183573755E-01      1.1587721248508125E+00     -1.2421739869001100E+00     -4.0827470849234205E-12     -6.6901739644564373E-01     -1.1587721223221357E+00      6.2108699279206037E-01     -1.0757542245554452E+00
    2   18     3.3311E-19     1.3732E-08     -9.7715378572891420E-01      5.8693974023720041E-01      1.3380347912241384E+00      0.0000000000000000E+00      6.2108699666206268E-01      1.0757542248498448E+00     -6.6901738765315055E-01      1.1587721341929040E+00     -1.2421739991103646E+00     -4.0827470849234205E-12     -6.6901739023789841E-01     -1.1587721103211963E+00      6.2108699887440710E-01     -1.0757542351667537E+00
    2   19     6.1841E-20     3.1263E-08      1.7221936917866243E+00      1.1202741701209507E+00      1.3380347945031914E+00      0.0000000000000000E+00      6.2108697973173232E-01      1.0757542187097662E+00     -6.6901740693481371E-01      1.1587721312637767E+00     -1.2421739814632096E+00     -4.0827470849234205E-12     -6.6901739710364561E-01     -1.1587721232758383E+00      6.2108699403246526E-01     -1.0757542295358162E+00
    3    1     4.2938E-19     2.6974E-09     -1.1864209390315299E+00     -1.3006610744687852E+00      5.6126824705777778E-01      0.0000000000000000E+00      1.6559497597854371E+00      2.1118545695905227E-12     -3.3490607252184604E-12      1.3938465975098375E+00     -5.6126824289095656E-01     -7.9531403742400983E-13     -1.6559497573121715E+00     -4.2564987054541777E-12      6.1197638112005077E-13     -1.3938465985580415E+00
    3    2     4.2916E-19     2.7059E-09      1.1864209390326466E+00     -1.3006610744633553E+00      5.6126824288059973E-01      0.0000000000000000E+00      1.6559497573034589E+00      2.1118545695905227E-12     -3.0301025609119405E-12      1.3938465975098377E+00     -5.6126824706813483E-01     -7.9531403742400983E-13     -1.6559497597941502E+00     -4.2564987054541777E-12      5.5369291625147441E-13     -1.3938465985580417E+00
    3    3     2.4273E-19     5.1098E-09     -4.2032232675991383E-10     -2.2565028981778616E+00      5.6126824556070132E-01      0.0000000000000000E+00      1.6559497587252678E+00      2.1118545695905227E-12     -3.2478355546616966E-12      1.3938465966266420E+00     -5.6126824561293875E-01     -7.9531403742400983E-13     -1.6559497587682153E+00     -4.2564987054541777E-12      5.5369291625147441E-13     -1.3938465913302251E+00
    3    4     3.9079E-23     7.8383E-09      2.4692820583418338E+00      2.9686077976973103E-12      5.6126823776965484E-01      0.0000000000000000E+00      1.6559497477704801E+00      2.1118545695905227E-12     -3.3490607252184604E-12      1.3938465983036017E+00     -5.6126824938455200E-01     -8.7903130452127410E-13     -1.6559497607663103E+00     -4.5541495223972326E-12      5.5369291625147441E-13     -1.3938465983056303E+00
    3    5     4.2929E-19     2.7081E-09      1.1864209390288434E+00      1.3006610744638585E+00      5.6126824288064436E-01      0.0000000000000000E+00      1.6559497573034818E+00      1.9107255629628537E-12     -3.3490607252184604E-12      1.3938465985560424E+00     -5.6126824706809009E-01     -8.7903130452127410E-13     -1.6559497597941271E+00     -4.7045512007651438E-12      6.1197638112005077E-13     -1.3938465975118370E+00
    3    6     4.2944E-19     2.6995E-09     -1.1864209390359475E+00      1.3006610744614442E+00      5.6126824705773315E-01      0.0000000000000000E+00      1.6559497597854140E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938465985560422E+00     -5.6126824289100097E-01     -8.7903130452127410E-13     -1.6559497573121942E+00     -4.7045512007651438E-12      5.5369291625147441E-13     -1.3938465975118368E+00
    3    7     4.2817E-23     7.8244E-09     -2.4692820583515207E+00     -6.7206535321549044E-12      5.6126824937419506E-01      0.0000000000000000E+00      1.6559497607575977E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938465983036086E+00     -5.6126823778001167E-01     -7.9531403742400983E-13     -1.6559497477791927E+00     -4.4071952650548468E-12      6.1197638112005077E-13     -1.3938465983056234E+00
    3    8     5.6372E-21     4.7900E-09     -1.1050290497336703E+00     -4.0820079464685668E-12      5.6126825017700421E-01      0.0000000000000000E+00      1.6559497609781595E+00      2.1118545695905227E-12     -3.3490607252184604E-12      1.3938465979189019E+00     -5.6126823551007010E-01     -8.7903130452127410E-13     -1.6559497634278688E+00     -4.5554016926355132E-12      5.5369291625147441E-13     -1.3938465979198846E+00
    3    9     2.4234E-19     5.0900E-09     -4.2719223753993925E-12      2.2565028981738688E+00      5.6126824558171218E-01      0.0000000000000000E+00      1.6559497587424472E+00      1.9107255629628537E-12     -3.1309204171080628E-12      1.3938465913281906E+00     -5.6126824559192789E-01     -8.7903130452127410E-13     -1.6559497587510357E+00     -4.7044772200861499E-12      6.1197638112005077E-13     -1.3938465966286759E+00
    3   10     2.8637E-19     3.7789E-09     -1.5181418456431574E-11      6.6753793112518112E-01      5.6126824620671634E-01      0.0000000000000000E+00      1.6559497588491290E+00      1.9107255629628537E-12     -3.3490607252184604E-12      1.3938466076848037E+00     -5.6126824620774407E-01     -8.7903130452127410E-13     -1.6559497588497685E+00     -4.7045512007651438E-12      5.5369291625147441E-13     -1.3938465961951954E+00
    3   11     5.6800E-21     4.7994E-09      1.1050290497215256E+00      9.7218622567549451E-13      5.6126823549971350E-01      0.0000000000000000E+00      1.6559497634191565E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938465979183874E+00     -5.6126825018736071E-01     -7.9531403742400983E-13     -1.6559497609868721E+00     -4.4059031460007815E-12      6.1197638112005077E-13     -1.3938465979203991E+00
    3   12     2.8614E-19     3.7791E-09     -7.5803966467828967E-12     -6.6753793112988391E-01      5.6126824620651217E-01      0.0000000000000000E+00      1.6559497588489518E+00      2.1118545695905227E-12     -3.3490607252184604E-12      1.3938465961931961E+00     -5.6126824620794824E-01     -7.9531403742400983E-13     -1.6559497588499457E+00     -4.2564987054541777E-12      5.5369291625147441E-13     -1.3938466076868030E+00
    3   13     8.9113E-24     3.9527E-09      5.3092540266885912E-12     -1.7792607235776675E-13      5.6126825223470822E-01      0.0000000000000000E+00      1.6559497620820278E+00      1.9107255629628537E-12     -3.0301025609119405E-12      1.3938465964777293E+00     -5.6126825222437815E-01     -7.9531403742400983E-13     -1.6559497620736487E+00     -4.4196643888850387E-12      5.9925726320378181E-13     -1.3938465964797369E+00
    4    1     2.9414E-21     4.9946E-09     -5.9044540661092526E-01     -1.0226814386583096E+00      6.7476250726960940E-01      0.0000000000000000E+00      1.6964754303508123E+00      1.7953010383893091E-12     -3.3738125173185646E-01      5.8436147403398442E-01     -8.4823770928846587E-01      1.4691908230738671E+00     -3.3738125022856869E-01     -5.8436146390869292E-01     -8.4823772048452606E-01     -1.4691908224186341E+00
    4    2     1.6998E-21     7.7866E-09     -1.2390635088184601E+00     -2.1461209420662843E+00      6.7476250711606656E-01      0.0000000000000000E+00      1.6964754305641769E+00      1.7953010383893091E-12     -3.3738125166191424E-01      5.8436147386934034E-01     -8.4823770967605927E-01      1.4691908230743076E+00     -3.3738125108840689E-01     -5.8436146559987412E-01     -8.4823771288067773E-01     -1.4691908094662607E+00
    4    3     1.4422E-26     7.2086E-09      2.4781270098773382E+00      2.0171901639051487E-12      6.7476249981305925E-01      0.0000000000000000E+00      1.6964754204967747E+00      1.6352604508628858E-12     -3.3738125428251314E-01      5.8436147226818491E-01     -8.4823771827523431E-01      1.4691908180391415E+00     -3.3738125428211480E-01     -5.8436147227692437E-01     -8.4823771826869121E-01     -1.4691908180507547E+00
    4    4     1.7200E-21     7.7545E-09     -1.2390635088295148E+00      2.1461209420508811E+00      6.7476250711606656E-01      0.0000000000000000E+00      1.6964754305641772E+00      1.6243199871141367E-12     -3.3738125108885553E-01      5.8436146559109592E-01     -8.4823771288731109E-01      1.4691908094545876E+00     -3.3738125166146549E-01     -5.8436147387811854E-01     -8.4823770966942613E-01     -1.4691908230859807E+00
    4    5     2.0752E-20     5.1823E-09      8.1447903622329798E-01     -1.4107190812734323E+00      6.7476250484202493E-01      0.0000000000000000E+00      1.6964754297067941E+00      1.6243199871141367E-12     -3.3738125231070393E-01      5.8436147323822962E-01     -8.4823771122606195E-01      1.4691908227678203E+00     -3.3738125663944885E-01     -5.8436146859694127E-01     -8.4823772253484442E-01     -1.4691908148428403E+00
    4    6     2.0682E-20     5.1843E-09      8.1447903621509554E-01      1.4107190812742740E+00      6.7476250484202493E-01      0.0000000000000000E+00      1.6964754297067941E+00      1.7953010383893091E-12     -3.3738125663989754E-01      5.8436146858816318E-01     -8.4823772254147767E-01      1.4691908148311676E+00     -3.3738125231025523E-01     -5.8436147324700760E-01     -8.4823771121942870E-01     -1.4691908227794930E+00
    4    7     5.1007E-24     4.3344E-09      1.1808908092416364E+00     -1.6824554796458638E-12      6.7476249794254861E-01      0.0000000000000000E+00      1.6964754355349698E+00      1.6243199871141367E-12     -3.3738125429494115E-01      5.8436147243595371E-01     -8.4823771837295658E-01      1.4691908177341320E+00     -3.3738125428605359E-01     -5.8436147245429815E-01     -8.4823771834992490E-01     -1.4691908177596991E+00
    4    8     1.4693E-24     1.7150E-09      4.6335329658695094E-12     -7.1755958200149914E-12      6.7476250901412771E-01      0.0000000000000000E+00      1.6964754315266082E+00      1.6381351423444179E-12     -3.3738125450854012E-01      5.8436147431958663E-01     -8.4823771576454143E-01      1.4691908205905884E+00     -3.3738125450763701E-01     -5.8436147432727714E-01     -8.4823771575795681E-01     -1.4691908206009616E+00
    4    9     2.9680E-21     4.9963E-09     -5.9044540661337896E-01      1.0226814386460767E+00      6.7476250726960951E-01      0.0000000000000000E+00      1.6964754303508123E+00      1.6243199871141367E-12     -3.3738125022901738E-01      5.8436146389991483E-01     -8.4823772049115920E-01      1.4691908224069612E+00     -3.3738125173140765E-01     -5.8436147404276251E-01     -8.4823770928183262E-01     -1.4691908230855399E+00
    4   10     1.6397E-26     3.7807E-09     -1.6289580795230394E+00     -4.0646893662992040E-12      6.7476250723599507E-01      0.0000000000000000E+00      1.6964754313470709E+00      1.6243199871141367E-12     -3.3738124951997661E-01      5.8436147239206060E-01     -8.4823771163845951E-01      1.4691908208809326E+00     -3.3738124951984066E-01     -5.8436147240052660E-01     -8.4823771163265793E-01     -1.4691908208919819E+00
    4   11     7.6726E-21     6.4541E-09      1.2020848172748076E-01     -2.0820719924414746E-01      6.7476251124570263E-01      0.0000000000000000E+00      1.6964754329727121E+00      1.7953010383893091E-12     -3.3738124998773511E-01      5.8436147179945064E-01     -8.4823770939344256E-01      1.4691908209319728E+00     -3.3738125908727723E-01     -5.8436147408415584E-01     -8.4823772696949440E-01     -1.4691908156590745E+00
    4   12     4.3091E-26     4.9148E-09     -2.4041696567894502E-01     -4.7557211601240478E-12      6.7476250440079533E-01      0.0000000000000000E+00      1.6964754284991574E+00      1.6243199871141367E-12     -3.3738125438109923E-01      5.8436147698086205E-01     -8.4823771087803845E-01      1.4691908250920964E+00     -3.3738125438115463E-01     -5.8436147698713381E-01     -8.4823771087294020E-01     -1.4691908251007852E+00
    4   13     7.7155E-21     6.4551E-09      1.2020848173157758E-01      2.0820719924266126E-01      6.7476251124570263E-01      0.0000000000000000E+00      1.6964754329727123E+00      1.6243199871141367E-12     -3.3738125908772587E-01      5.8436147407537775E-01     -8.4823772697612765E-01      1.4691908156474018E+00     -3.3738124998728636E-01     -5.8436147180822873E-01     -8.4823770938680931E-01     -1.4691908209436457E+00
    5    1     9.7172E-20     6.6811E-09      1.7801732365439875E+00      1.0277835011949059E+00      1.2909944403562092E+00      0.0000000000000000E+00      6.4549721479512379E-01      1.1180339859741348E+00     -6.4549722982269842E-01      1.1180339905845145E+00     -1.2909944458067506E+00      1.2604723030519623E-12     -6.4549722234579088E-01     -1.1180339851618630E+00      6.4549722500981199E-01     -1.1180339906167638E+00
    5    2     1.8018E-25     4.2200E-12     -8.6307222842821143E-13     -1.6766372965448168E-12      1.2909944487351248E+00      0.0000000000000000E+00      6.4549722436666102E-01      1.1180339887505495E+00     -6.4549722436936263E-01      1.1180339887500312E+00     -1.2909944487369414E+00      1.2604723030519623E-12     -6.4549722437046408E-01     -1.1180339887490049E+00      6.4549722436557899E-01     -1.1180339887507829E+00
    5    3     9.6692E-20     6.5363E-09     -1.7801732365487835E+00     -1.0277835011976841E+00      1.2909944458031899E+00      0.0000000000000000E+00      6.4549722234118023E-01      1.1180339851623204E+00     -6.4549722501388795E-01      1.1180339906162962E+00     -1.2909944403597700E+00      1.3931535981100636E-12     -6.4549721479984934E-01     -1.1180339859736113E+00      6.4549722981850721E-01     -1.1180339905850483E+00
    5    4     1.0861E-19     2.1652E-07     -1.1085006891556004E+00     -1.9199795247898241E+00      1.2909946808009110E+00      0.0000000000000000E+00      6.4549710413096917E-01      1.1180337813627292E+00     -6.4549734115525625E-01      1.1180341878370739E+00     -1.2909942236700154E+00      1.3931535981100636E-12     -6.4549732543056815E-01     -1.1180341690637072E+00      6.4549711639660445E-01     -1.1180337926548780E+00
    5    5     4.0662E-19     7.5159E-09     -9.8870108821285507E-01      5.7082684686087470E-01      1.2909944482206634E+00      0.0000000000000000E+00      6.4549722750732819E-01      1.1180339833991362E+00     -6.4549721541278304E-01      1.1180340007550651E+00     -1.2909944522237773E+00      1.2604723030519623E-12     -6.4549722149734368E-01     -1.1180339812526841E+00      6.4549722328056114E-01     -1.1180339859754689E+00
    5    6     1.0861E-19     2.1651E-07      1.1085006891436415E+00     -1.9199795247936331E+00      1.2909942236664920E+00      0.0000000000000000E+00      6.4549734115201196E-01      1.1180341878367936E+00     -6.4549710413418881E-01      1.1180337813629662E+00     -1.2909946808043913E+00      1.3931535981100636E-12     -6.4549711640222585E-01     -1.1180337926537094E+00      6.4549732542493288E-01     -1.1180341690648523E+00
    5    7     1.0912E-19     2.1652E-07      1.1085006891436036E+00      1.9199795247908922E+00      1.2909942236669425E+00      0.0000000000000000E+00      6.4549732542558902E-01      1.1180341690637932E+00     -6.4549711640103502E-01      1.1180337926547579E+00     -1.2909946808039416E+00      1.2604723030519623E-12     -6.4549710413582995E-01     -1.1180337813626970E+00      6.4549734115090496E-01     -1.1180341878370719E+00
    5    8     4.0564E-19     7.5158E-09     -9.8870108821219183E-01     -5.7082684686133345E-01      1.2909944482206677E+00      0.0000000000000000E+00      6.4549722328144066E-01      1.1180339859747968E+00     -6.4549722149592981E-01      1.1180339812533464E+00     -1.2909944522237728E+00      1.3931535981100636E-12     -6.4549721541420146E-01     -1.1180340007544105E+00      6.4549722750644434E-01     -1.1180339833998008E+00
